time,i_value,j_value,latitude,longitude,u_west_to_east_wind,v_south_to_north_wind,temprature,relative_humidity,vertical_velocity,pressure,water_vapour,turbulent_kinatic_energy,precipitation_rate,sensible_heat_flux,latent_heat_flux,tracer_concentration
16.9,32,37,33.25,-81.66,-5.54272,2.74654,21.24873,59.2047,-116.69037,1008.10339,9.46689,0.83044,410.14923,-4.47523,7.33e-10,1
14.3,17,40,33.253,-81.675,-7.7019,1.63093,18.65418,74.72937,-82.20314,1009.89307,10.11889,0.46775,203.17249,12.06795,8.74e-11,1
16.6,47,16,33.229,-81.645,-5.0584,5.08714,21.20233,58.71383,-75.14803,1008.92053,9.35334,1.2991,540.53809,17.32545,0.0,0
17.7,45,63,33.276,-81.647,-7.10859,-2.69963,21.65959,60.1596,48.95446,1008.68909,9.86503,1.23521,311.69226,18.55441,0.0,0
14.1,30,48,33.261,-81.662,-5.16942,3.13344,18.71676,76.20699,-14.33702,1011.04407,10.34798,0.84032,221.57138,-2.36433,0.0,0
14.9,69,23,33.236,-81.623,-4.94207,0.75257,19.6004,72.41951,-4.83363,1011.36084,10.39995,1.75432,355.34225,6.5205,0.0,0
15.3,37,39,33.252,-81.655,-5.84445,1.64955,19.60411,72.46698,-32.01987,1009.97192,10.42404,0.77783,288.12213,0.98077,0.0,0
13.7,16,44,33.257,-81.676,-4.82668,2.19557,18.60976,77.22118,34.396,1010.50238,10.42022,1.03259,151.14186,1.41427,4.52e-10,1
16.7,7,45,33.258,-81.685,-6.28594,1.45228,21.37998,57.28567,-18.39223,1010.97656,9.20877,0.84984,269.9173,39.48392,2.3e-12,1
14.5,28,37,33.25,-81.664,-7.2934,2.82719,18.58324,76.1011,-117.94878,1009.30383,10.26414,0.63325,335.34393,4.50599,1.36e-11,1
12.8,12,40,33.253,-81.68,-5.31496,2.40285,17.60088,83.4295,-1.95213,1009.71149,10.56091,0.97367,155.12137,2.391,0.0,0
12.4,32,63,33.276,-81.66,-6.27777,2.49669,17.14584,86.57845,-13.91656,1009.78656,10.64207,1.20812,47.32331,3.13157,0.0,0
12.9,18,46,33.259,-81.674,-5.47338,1.85786,17.61849,83.48589,-2.97721,1010.33728,10.5734,0.94672,82.21236,0.66771,1.81e-11,1
12.6,21,42,33.255,-81.671,-5.84937,2.31323,17.29721,85.28362,-19.38902,1008.99255,10.59423,0.78702,61.11938,2.36693,5.5e-11,1
14.4,33,40,33.253,-81.659,-5.68538,3.99521,18.71121,75.9305,-44.70112,1010.07385,10.3171,0.94745,304.77747,7.65874,0.0,0
14.9,9,41,33.254,-81.683,-7.43789,2.02534,19.51397,70.83356,3.37392,1011.0249,10.11999,0.99475,364.1073,-21.76681,1.49e-10,1
15.0,38,14,33.227,-81.654,-6.16352,2.41366,19.61096,69.34435,-46.78748,1009.82037,9.98068,1.77022,293.336,0.8969,0.0,0
14.7,76,46,33.259,-81.616,-4.47077,1.37938,18.90784,75.7289,-4.6301,1009.31757,10.4277,1.85094,318.39529,1.42978,0.0,0
13.9,40,5,33.218,-81.652,-4.49823,2.28902,18.78418,76.03998,3.54383,1010.74353,10.37323,1.53037,194.46313,0.89103,0.0,0
17.1,78,4,33.217,-81.614,-4.75573,1.89447,21.9923,55.68641,3.23518,1008.14063,9.32917,2.21379,340.78534,-1.33133,0.0,0
16.3,56,17,33.23,-81.636,-5.02022,-0.80455,21.3141,63.49237,49.2021,1011.66022,10.15635,1.65858,380.17957,-4.60589,0.0,0
12.1,79,65,33.278,-81.613,-5.27189,1.9948,16.7225,89.26479,3.59877,1007.94727,10.69595,3.52864,76.67838,11.20299,0.0,0
17.4,7,57,33.27,-81.685,-4.62901,-0.35784,22.41474,56.73418,85.21646,1009.58496,9.74309,2.50691,502.10876,9.67901,2.3e-12,1
16.3,68,55,33.268,-81.624,-3.34173,0.91827,20.76552,67.02402,-3.29272,1010.27283,10.37311,1.95817,314.57703,13.98497,0.0,0
17.0,12,44,33.257,-81.68,-5.3193,1.49726,21.61627,57.74274,-57.43076,1009.71753,9.43338,0.67172,387.97537,33.18475,9.19e-12,1
16.1,4,30,33.243,-81.688,-5.85489,2.66438,21.05831,61.22566,52.32989,1010.6264,9.64862,1.59666,196.69562,-16.92636,0.0,0
14.6,22,40,33.253,-81.67,-5.76313,1.55518,19.17365,73.75874,40.37661,1009.89917,10.32381,1.25706,250.54007,-6.87587,1.8e-10,1
12.9,78,4,33.217,-81.614,-4.70138,1.22648,17.49783,83.49529,5.86518,1008.72296,10.5099,2.80525,80.82638,2.22759,0.0,0
13.6,19,43,33.256,-81.673,-5.7843,1.9424,18.2339,79.08698,-8.0026,1010.23712,10.4211,1.05039,149.98695,1.9385,5.57e-10,1
12.9,16,47,33.26,-81.676,-5.41952,1.71912,17.61153,83.56023,-11.53206,1010.36914,10.57773,0.87795,85.46886,0.82925,6.1e-12,1
17.8,24,34,33.247,-81.668,-6.29045,5.23432,22.76825,43.86084,-111.81812,1007.77148,7.71583,1.36594,484.08353,61.22897,0.0,0
16.4,14,39,33.252,-81.678,-5.98256,1.67572,20.96443,60.77607,-27.07281,1009.5097,9.532,0.70962,314.37558,29.14837,6.25e-11,1
17.5,25,44,33.257,-81.667,-3.80425,0.87847,23.04815,52.65891,178.65321,1010.05865,9.40565,1.70077,255.93494,15.52032,1.41e-10,1
16.5,8,47,33.26,-81.684,-5.39576,-0.23864,21.65539,60.60329,96.56651,1011.58362,9.90555,1.94558,210.55383,85.25073,2.3e-12,1
13.0,27,42,33.255,-81.665,-5.92062,2.1779,17.65572,82.97834,-14.30923,1010.17566,10.53603,0.97619,100.91415,3.91767,1.11e-09,1
16.9,20,40,33.253,-81.672,-5.09418,2.13767,21.70517,55.21321,67.88358,1008.66223,9.08053,1.02058,288.94958,42.84727,3.8e-11,1
14.0,17,46,33.259,-81.675,-5.5105,1.77329,18.93229,75.15291,66.01479,1010.9826,10.34715,1.27063,172.65596,1.27955,4.88e-11,1
14.9,18,40,33.253,-81.674,-5.72274,2.2104,19.53316,70.61285,49.44531,1009.84692,10.11293,0.98815,195.82794,-4.32819,2.21e-10,1
